name,artist_name,genre,uri,danceability,energy,valence,tempo
Blinding Lights,The Weeknd,pop,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.51,0.73,0.56,171.005
Uptown Funk,Bruno Mars,pop,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.8,0.9,0.95,115.02
Shape of You,Ed Sheeran,pop,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.65,0.78,0.62,96.0
Rolling in the Deep,Adele,pop,spotify:track:1MDoll6jK4rrk2BcFRP5i7,0.52,0.8,0.4,105.0
Shake It Off,Taylor Swift,pop,spotify:track:5WfhX7XgQacA1zm42LZhO2,0.7,0.85,0.98,160.0
Can't Stop the Feeling!,Justin Timberlake,pop,spotify:track:6JV2JOEocMgcZxYSZelKcc,0.76,0.79,0.93,113.001
Levitating,Dua Lipa,pop,spotify:track:463CkQjx2Zk1yXoBuierM9,0.7,0.8,0.83,103.005
Happy,Pharrell Williams,pop,spotify:track:60nZcImufyMA1MKQY3dcCH,0.82,0.79,0.96,160.0
Havana,Camila Cabello,pop,spotify:track:1rfofaqEpACxVEHIZBJe6W,0.73,0.6,0.85,105.001
Don't Start Now,Dua Lipa,pop,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.79,0.81,0.89,124.008
Poker Face,Lady Gaga,pop,spotify:track:1vrZIiq1hL1f1lCjO9d6iG,0.68,0.84,0.62,119.99
Bad Romance,Lady Gaga,pop,spotify:track:0SiywuOBRcynK0uKGWdCnn,0.65,0.92,0.57,119.99
Just Dance,Lady Gaga,pop,spotify:track:2AbhpLJwH0P2QZ9y4qFZ6X,0.74,0.82,0.88,119.0
Firework,Katy Perry,pop,spotify:track:4lCv7b86sLynZbXhfScfm2,0.64,0.86,0.61,124.0
Teenage Dream,Katy Perry,pop,spotify:track:5jrdCoLpJSvHHorevXBATy,0.71,0.89,0.74,120.0
Roar,Katy Perry,pop,spotify:track:6l8GvAyoUZwWDgF1e4822w,0.65,0.89,0.93,90.0
Dark Horse,Katy Perry,pop,spotify:track:0w5xEu8FMMUuGLcKHtRdnR,0.65,0.83,0.45,132.0
California Gurls,Katy Perry,pop,spotify:track:6naxalmIoLFWR0siv8dnQQ,0.74,0.89,0.93,125.0
Sorry,Justin Bieber,pop,spotify:track:09CtPGIpYB4BrO8qb1RGsF,0.82,0.65,0.82,100.0
Love Yourself,Justin Bieber,pop,spotify:track:50kpGaPAhYJ3sGmk6vplg0,0.75,0.38,0.74,100.02
What Do You Mean?,Justin Bieber,pop,spotify:track:3UBv7xvZ3y2QIkS1xIrMjL,0.79,0.64,0.77,125.0
Peaches,Justin Bieber,pop,spotify:track:4iJyoBOLtHqaGxP12qzhQI,0.75,0.58,0.76,90.0
Stitches,Shawn Mendes,pop,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.67,0.72,0.58,150.0
Treat You Better,Shawn Mendes,pop,spotify:track:3fpVWegR6YOSZf1IYpZwaO,0.58,0.80,0.57,83.99
Señorita,Shawn Mendes,pop,spotify:track:0TK2YIli7K1leLovkQiNik,0.76,0.62,0.74,117.99
Bad Guy,Billie Eilish,pop,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.70,0.43,0.56,135.1
Lovely,Billie Eilish,pop,spotify:track:0u2P5u6lvoDfwTYjAADbn4,0.32,0.28,0.10,114.0
Ocean Eyes,Billie Eilish,pop,spotify:track:2B8fOow8UzyDFAE27YhOZM,0.45,0.30,0.24,145.0
We Found Love,Rihanna,pop,spotify:track:5ctk3VsGaM0v8h0U0UuCmt,0.64,0.91,0.77,128.0
Diamonds,Rihanna,pop,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,0.53,0.75,0.55,92.0
Only Girl (In The World),Rihanna,pop,spotify:track:1e9oZCCiZcuN5aIHWJpxGl,0.70,0.89,0.72,126.0
Umbrella,Rihanna,pop,spotify:track:49FYlytm3dAAraYgpoJZux,0.72,0.79,0.78,87.0
Shallow,Lady Gaga & Bradley Cooper,pop,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.53,0.39,0.24,96.0
Perfect,Ed Sheeran,pop,spotify:track:0tgVpDi06FyKpA1z0VMD4d,0.60,0.45,0.49,95.0
Thinking Out Loud,Ed Sheeran,pop,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.63,0.52,0.48,79.0
Photograph,Ed Sheeran,pop,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,0.56,0.48,0.36,108.0
Halo,Beyoncé,pop,spotify:track:3S8jK1mGSu8L1w5e8Q7dNc,0.47,0.52,0.36,84.0
Single Ladies,Beyoncé,pop,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,0.78,0.91,0.87,97.0
If I Were a Boy,Beyoncé,pop,spotify:track:4aecCZH3DuY2VnYq85UQuq,0.43,0.48,0.31,90.0
Call Me Maybe,Carly Rae Jepsen,pop,spotify:track:20I6sIOMTCkB6w7ryavxtO,0.74,0.71,0.80,120.0
Good Time,Owl City,pop,spotify:track:4f2ZsG1vZ8mdTqRoG4WLv9,0.77,0.80,0.91,126.0
Fireflies,Owl City,pop,spotify:track:5vjV7XvjFgjI03lI5ejdle,0.63,0.54,0.58,90.0
Die Young,Ke$ha,pop,spotify:track:6xB6P3MFJnY5X4rJr8fVqh,0.74,0.92,0.74,128.0
